1784822758.324106 server started (54747): version 3.4, socket /tmp/tmux-1000/default, protocol 8
1784822758.324121 on Linux 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025
1784822758.324123 using libevent 2.1.12-stable poll
1784822758.324124 using ncurses 6.4 20240113
1784822758.324147 input_key_build: 0x10e003 (PasteStart) is \033[200~
1784822758.324148 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1784822758.324149 input_key_build: 0x10e195 (F1) is \033OP
1784822758.324150 input_key_build: 0x10e196 (F2) is \033OQ
1784822758.324150 input_key_build: 0x10e197 (F3) is \033OR
1784822758.324151 input_key_build: 0x10e198 (F4) is \033OS
1784822758.324151 input_key_build: 0x10e199 (F5) is \033[15~
1784822758.324152 input_key_build: 0x10e19a (F6) is \033[17~
1784822758.324153 input_key_build: 0x10e19b (F7) is \033[18~
1784822758.324153 input_key_build: 0x10e19c (F8) is \033[19~
1784822758.324154 input_key_build: 0x10e19d (F9) is \033[20~
1784822758.324154 input_key_build: 0x10e19e (F10) is \033[21~
1784822758.324155 input_key_build: 0x10e19f (F11) is \033[23~
1784822758.324155 input_key_build: 0x10e1a0 (F12) is \033[24~
1784822758.324156 input_key_build: 0x10e1a1 (IC) is \033[2~
1784822758.324157 input_key_build: 0x10e1a2 (DC) is \033[3~
1784822758.324158 input_key_build: 0x10e1a3 (Home) is \033[1~
1784822758.324159 input_key_build: 0x10e1a4 (End) is \033[4~
1784822758.324159 input_key_build: 0x10e1a5 (NPage) is \033[6~
1784822758.324160 input_key_build: 0x10e1a6 (PPage) is \033[5~
1784822758.324161 input_key_build: 0x10e1a7 (BTab) is \033[Z
1784822758.324161 input_key_build: 0x10e1a8 (Up) is \033[A
1784822758.324162 input_key_build: 0x10e1a9 (Down) is \033[B
1784822758.324163 input_key_build: 0x10e1aa (Left) is \033[D
1784822758.324163 input_key_build: 0x10e1ab (Right) is \033[C
1784822758.324164 input_key_build: 0x10e1ac (KP/) is /
1784822758.324165 input_key_build: 0x10e1ad (KP*) is *
1784822758.324165 input_key_build: 0x10e1ae (KP-) is -
1784822758.324166 input_key_build: 0x10e1af (KP7) is 7
1784822758.324166 input_key_build: 0x10e1b0 (KP8) is 8
1784822758.324167 input_key_build: 0x10e1b1 (KP9) is 9
1784822758.324167 input_key_build: 0x10e1b2 (KP+) is +
1784822758.324168 input_key_build: 0x10e1b3 (KP4) is 4
1784822758.324169 input_key_build: 0x10e1b4 (KP5) is 5
1784822758.324169 input_key_build: 0x10e1b5 (KP6) is 6
1784822758.324170 input_key_build: 0x10e1b6 (KP1) is 1
1784822758.324170 input_key_build: 0x10e1b7 (KP2) is 2
1784822758.324171 input_key_build: 0x10e1b8 (KP3) is 3
1784822758.324172 input_key_build: 0x10e1b9 (KPEnter) is \n
1784822758.324172 input_key_build: 0x10e1ba (KP0) is 0
1784822758.324173 input_key_build: 0x10e1bb (KP.) is .
1784822758.324175 input_key_build: 0x200000000009 (C-Tab) is \t
1784822758.324176 input_key_build: 0x20000010e195 (C-F1) is \033[1;5P
1784822758.324177 input_key_build: 0x20000010e196 (C-F2) is \033[1;5Q
1784822758.324177 input_key_build: 0x20000010e197 (C-F3) is \033[1;5R
1784822758.324178 input_key_build: 0x20000010e198 (C-F4) is \033[1;5S
1784822758.324179 input_key_build: 0x20000010e199 (C-F5) is \033[15;5~
1784822758.324179 input_key_build: 0x20000010e19a (C-F6) is \033[17;5~
1784822758.324180 input_key_build: 0x20000010e19b (C-F7) is \033[18;5~
1784822758.324181 input_key_build: 0x20000010e19c (C-F8) is \033[19;5~
1784822758.324181 input_key_build: 0x20000010e19d (C-F9) is \033[20;5~
1784822758.324182 input_key_build: 0x20000010e19e (C-F10) is \033[21;5~
1784822758.324183 input_key_build: 0x20000010e19f (C-F11) is \033[23;5~
1784822758.324183 input_key_build: 0x20000010e1a0 (C-F12) is \033[24;5~
1784822758.324184 input_key_build: 0x20000010e1a1 (C-IC) is \033[2;5~
1784822758.324185 input_key_build: 0x20000010e1a2 (C-DC) is \033[3;5~
1784822758.324185 input_key_build: 0x20000010e1a3 (C-Home) is \033[1;5H
1784822758.324186 input_key_build: 0x20000010e1a4 (C-End) is \033[1;5F
1784822758.324187 input_key_build: 0x20000010e1a5 (C-NPage) is \033[6;5~
1784822758.324187 input_key_build: 0x20000010e1a6 (C-PPage) is \033[5;5~
1784822758.324188 input_key_build: 0x20000010e1a8 (C-Up) is \033[1;5A
1784822758.324192 input_key_build: 0x20000010e1a9 (C-Down) is \033[1;5B
1784822758.324192 input_key_build: 0x20000010e1aa (C-Left) is \033[1;5D
